Timestamp,HappinessSadness,HopefulUncertainty,SecureInsecure,money,health,currentSeason,robberyAccount,purpose,peasantFamilyAffinity,peasantLeisureAffinity,peasantFriendsAffinity,currentPeasantLeisureType,currentResourceNeededType,currentDay,internalCurrentDate,toPay,peasantKind,peasantFamilyMinimalVital,peasantFamilyLandAlias,currentActivity,farm,loanAmountToPay,tools,seeds,waterAvailable,pesticidesAvailable,HarvestedWeight,totalHarvestedWeight,contractor,daysToWorkForOther,Agent,Emotion,peasantFamilyHelper,haveEmotions
2024-11-12T00:45:25.419165200Z,0.0,0.9809,0.0,281603.0,66,NONE,0,farmer,0.4626780001645983,0.2643874286654847,0.3965811429982271,NONE,NONE,101,11/04/2022,0.0,StablePeasant,12000,farm_103_small,PRICE_LIST,True,0.0,23,31,9999999.0,0,0,0.0,NONE,0,MAS_500PeasantFamily1,True,NONE,True
2024-11-12T00:45:30.201261200Z,0.0,0.9812,0.0,350686.0,66,NONE,0,farmer,0.4626780001645983,0.2643874286654847,0.3965811429982271,NONE,NONE,108,18/04/2022,0.0,StablePeasant,12000,farm_103_small,PRICE_LIST,True,0.0,23,31,9999999.0,0,0,0.0,NONE,0,MAS_500PeasantFamily1,True,NONE,True
2024-11-12T00:45:35.001119200Z,0.0,0.9811,0.0,375859.0,66,NONE,0,farmer,0.4626780001645983,0.2643874286654847,0.3965811429982271,NONE,NONE,115,25/04/2022,0.0,StablePeasant,12000,farm_103_small,PRICE_LIST,True,0.0,23,31,9999999.0,0,0,0.0,NONE,0,MAS_500PeasantFamily1,True,NONE,True
2024-11-12T00:45:39.671016400Z,-0.04479997,0.9249,0.44080007,290670.0,66,NONE,0,farmer,0.4626780001645983,0.2643874286654847,0.3965811429982271,NONE,NONE,122,02/05/2022,0.0,StablePeasant,12000,farm_103_small,PRICE_LIST,True,0.0,23,31,9999999.0,0,0,0.0,NONE,0,MAS_500PeasantFamily1,True,NONE,True
2024-11-12T00:45:44.638326Z,0.0,0.9812,0.0,355186.0,66,NONE,0,farmer,0.4626780001645983,0.2643874286654847,0.3965811429982271,NONE,NONE,129,09/05/2022,0.0,StablePeasant,12000,farm_103_small,PRICE_LIST,True,0.0,23,31,9999999.0,0,0,0.0,NONE,0,MAS_500PeasantFamily1,True,NONE,True
2024-11-12T00:45:49.067176Z,-0.14719999,0.95019996,0.0,388382.0,66,NONE,0,farmer,0.4626780001645983,0.2643874286654847,0.3965811429982271,NONE,NONE,136,16/05/2022,0.0,StablePeasant,12000,farm_103_small,PRICE_LIST,True,0.0,23,31,9999999.0,0,0,0.0,NONE,0,MAS_500PeasantFamily1,True,NONE,True
2024-11-12T00:45:54.535560Z,-0.072399974,0.93169993,0.037599977,424963.0,66,HARVEST,0,farmer,0.4626780001645983,0.2643874286654847,0.3965811429982271,NONE,NONE,143,23/05/2022,0.0,StablePeasant,12000,farm_103_small,PRICE_LIST,True,0.0,23,31,9999999.0,0,0,0.0,NONE,0,MAS_500PeasantFamily1,True,NONE,True
2024-11-12T00:45:59.146613400Z,0.30560005,1.0,0.458,424794.0,66,HARVEST,0,farmer,0.4626780001645983,0.2643874286654847,0.3965811429982271,NONE,NONE,148,28/05/2022,0.0,StablePeasant,12000,farm_103_small,PRICE_LIST,True,0.0,23,31,9999999.0,0,913,913.0,NONE,0,MAS_500PeasantFamily1,True,NONE,True
2024-11-12T00:46:00.305759800Z,0.0,0.91290003,0.572,412794.0,66,HARVEST,0,farmer,0.4626780001645983,0.2643874286654847,0.3965811429982271,NONE,NONE,150,30/05/2022,0.0,StablePeasant,12000,farm_103_small,NONE,True,0.0,23,31,9999999.0,0,0,913.0,NONE,0,MAS_500PeasantFamily1,True,NONE,True
2024-11-12T00:46:05.347853800Z,-0.21479972,0.9126,0.5279001,321441.0,66,HARVEST,0,farmer,0.4626780001645983,0.2643874286654847,0.3965811429982271,NONE,NONE,157,06/06/2022,0.0,StablePeasant,12000,farm_103_small,NONE,True,0.0,23,31,9999999.0,0,0,913.0,NONE,0,MAS_500PeasantFamily1,True,NONE,True
