date,disease,evapotranspiration,agb,cumulatedTemperature,cumulatedEvapotranspiration
10/04/2025,false,4.22640664628678,0.0,28.345833917066475,4.22640664628678
11/04/2025,false,4.024446172318819,50.6022545814008,56.6885865954623,8.2508528186056
12/04/2025,false,4.219260225165117,98.40704931919788,84.22034470234514,12.470113043770716
13/04/2025,false,3.811373190057756,140.35319858945792,111.98332568408063,16.281486233828474
14/04/2025,false,3.585441736614561,182.032697483486,139.09692744968535,19.866927970443037
15/04/2025,false,3.4449305698688057,221.73206277239575,166.85338618056446,23.311858540311842
16/04/2025,false,4.208533526702904,271.53020723805196,195.12582387782325,27.520392067014747
17/04/2025,false,4.039441187397331,321.7749021620626,223.5741598817555,31.559833254412077
18/04/2025,false,3.91759079114065,368.5594025582622,252.2377924312076,35.47742404555272
19/04/2025,false,4.182214201918312,416.8542697002218,280.6975502048051,39.65963824747104
20/04/2025,false,3.9626581531385714,461.44775058661276,309.3138014436917,43.622296400609606
21/04/2025,false,3.5736777083792575,504.470313397035,337.5680864207501,47.195974108988864
22/04/2025,false,3.301412043324726,543.6826348506602,366.0960116834727,50.49738615231359
23/04/2025,false,3.155056800597512,578.5563825682153,393.99548973777604,53.6524429529111
24/04/2025,false,3.1123571300402473,612.4134318838513,422.16971744161054,56.764800082951346
25/04/2025,false,2.6535031037473886,644.794293836132,451.08531186265367,59.418303186698736
26/04/2025,false,2.634611894007752,674.1316445620289,478.95890313175056,62.05291508070649
27/04/2025,false,2.498955840468222,701.2574836318479,506.90319983936274,64.55187092117471
28/04/2025,false,2.266115214906288,728.3819386355034,535.1398717103211,66.817986136081
29/04/2025,false,2.1311075215225457,755.3325227880819,563.5460530305741,68.94909365760356
30/04/2025,false,2.082069579144916,779.8014346943232,591.0091672293697,71.03116323674847
01/05/2025,false,1.8456910905065442,809.6940442553497,618.9230197186185,72.87685432725502
02/05/2025,false,1.6604268355960836,839.5874391044567,647.0345667091424,74.5372811628511
03/05/2025,false,1.610763049305692,867.871279322731,675.4253465173044,76.14804421215679
04/05/2025,false,1.4926718927053222,894.4796622575013,703.0727377841766,77.64071610486211
05/05/2025,false,1.4670344241590094,917.5511227904361,731.1381651022494,79.10775052902112
06/05/2025,false,1.3735468232043169,940.5350058475157,758.7897507795583,80.48129735222544
07/05/2025,false,1.3263959851150744,962.2538320380544,786.6077229808825,81.80769333734051
08/05/2025,false,1.180763345248468,983.4861599416629,814.2035002973649,82.98845668258897
09/05/2025,false,1.1393598686401922,1003.1783694404792,842.2937643521726,84.12781655122917
10/05/2025,false,1.0661382028259458,1021.3449981397912,870.282585387019,85.19395475405511
11/05/2025,false,0.9732449686549143,1038.459051939516,897.8797776489001,86.16719972271002
12/05/2025,false,0.9845616382558828,1054.6552940385202,925.7579215335466,87.1517613609659
13/05/2025,false,0.9384727313768934,1069.6856602824073,953.5336515825815,88.0902340923428
14/05/2025,false,0.8577921781217626,1084.1453093204516,981.4065747428721,88.94802627046457
15/05/2025,false,0.8397326068562362,1097.2316114385421,1009.1239856540802,89.7877588773208
16/05/2025,false,0.756280387724279,1109.882411723184,1036.9105381649204,90.54403926504507
17/05/2025,false,0.7141240307051003,1123.0713113836784,1064.614320952973,91.25816329575017
18/05/2025,false,0.685741724953218,1135.1753192869471,1092.4763239613562,91.94390502070338
19/05/2025,false,0.6550846452339578,1146.2156236367475,1120.2170240713979,92.59898966593734
20/05/2025,false,0.6233030695947951,1156.0610181619213,1148.3205323486102,93.22229273553214
21/05/2025,false,0.5664214259771516,1165.498640092185,1176.1311432068212,93.78871416150929
22/05/2025,false,0.5427307693356204,1174.886151947084,1203.7581387093405,94.33144493084491
23/05/2025,false,0.52189235951089,1183.437144179566,1231.7097020025371,94.8533372903558
24/05/2025,false,0.4916711129162109,1191.62606271299,1259.5752188470437,95.345008403272
25/05/2025,false,0.45699098238742847,1199.6803664729166,1287.5610912045333,95.80199938565943
26/05/2025,false,0.42754541399989465,1206.888521193198,1315.375756261033,96.22954479965932
27/05/2025,false,0.400616802164775,1214.1084418609678,1343.0080819387222,96.6301616018241
28/05/2025,false,0.38759680816045183,1220.6535337779671,1370.752813757939,97.01775840998455
29/05/2025,false,0.36398078030811254,1226.5914677407047,1398.548758051811,97.38173919029266
30/05/2025,false,0.3437030616897634,1232.2982447424793,1426.2412002730707,97.72544225198243
31/05/2025,false,0.3323101096199678,1237.541455311532,1453.847339184455,98.0577523616024
01/06/2025,false,0.32033037166155237,1243.1555624563293,1481.4509233901495,98.37808273326395
02/06/2025,false,0.2872237695985703,1248.1211574536865,1509.0748189527565,98.66530650286252
03/06/2025,false,0.3028959256419511,1254.4620223205686,1536.845272568063,98.96820242850447
04/06/2025,false,0.27390646034208316,1260.2096082689222,1564.9260291248945,99.24210888884656
05/06/2025,false,0.2770551144165505,1265.4844896700754,1592.4179823394468,99.51916400326311
06/06/2025,false,0.2333929492265179,1270.6929224513578,1620.163561472696,99.75255695248963
07/06/2025,false,0.24083222464995332,1274.9999082320319,1647.7701496810353,99.99338917713958
08/06/2025,false,0.2115288903908665,1279.3793108376487,1675.6891370536016,100.20491806753044
09/06/2025,false,0.21854435808422196,1283.1713356915964,1703.462389391747,100.42346242561466
10/06/2025,false,0.20567206352256923,1287.0368684694593,1731.0043566411077,100.62913448913723
11/06/2025,false,0.1795242704363087,1290.4149774681844,1758.5399252794712,100.80865875957353
12/06/2025,false,4.565991771404693,1375.037617798339,1786.2942623838394,105.37465053097823
13/06/2025,false,4.171058789902387,1455.8608250345603,1814.154737522578,109.54570932088062
